"resource","time","server","queue","capacity","queue_size","system","limit","replication"
"c_r2eheavy_emerg_2_nurse_3_t1",617.367540103597,0,0,1,Inf,0,Inf,1
"c_r2eheavy_emerg_2_medic_1_t1",617.367540103597,0,0,1,Inf,0,Inf,1
"b_r2eheavy_resus_1_t1",617.367540103597,0,0,1,Inf,0,Inf,1
"b_r2eheavy_ot_1_t1",617.367540103597,1,0,1,Inf,1,Inf,1
"c_r2eheavy_surg_4_anesthetist_1_t1",617.367540103597,0,1,0,Inf,1,Inf,1
"c_r1_technician_medic_1_t3",631.243107991759,1,0,1,Inf,1,Inf,1
"c_r1_clinician_nurse_1_t3",631.243107991759,1,0,1,Inf,1,Inf,1
"c_r1_clinician_nurse_1_t3",653.026870413756,0,0,1,Inf,0,Inf,1
"c_r1_technician_medic_1_t3",653.026870413756,0,0,1,Inf,0,Inf,1
"t_PMVAmb_1",653.026870413756,1,0,1,Inf,1,Inf,1
"t_PMVAmb_1",672.986215433886,0,0,1,Inf,0,Inf,1
"b_r2b_hold_1_t2",672.986215433886,1,0,1,Inf,1,Inf,1
"b_r2b_resus_1_t2",672.986215433886,1,0,1,Inf,1,Inf,1
"b_r2b_hold_1_t2",672.986215433886,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_facem_1_t2",672.986215433886,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_nurse_1_t2",672.986215433886,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_nurse_2_t2",672.986215433886,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_nurse_3_t2",672.986215433886,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_medic_1_t2",672.986215433886,1,0,1,Inf,1,Inf,1
"c_r2b_surg_1_anesthetist_1_t2",720,0,0,1,Inf,0,Inf,1
"c_r2b_surg_1_surgeon_1_t2",720,0,0,1,Inf,0,Inf,1
"c_r2b_surg_1_surgeon_2_t2",720,0,0,1,Inf,0,Inf,1
"c_r2b_surg_1_medic_1_t2",720,0,0,1,Inf,0,Inf,1
"b_r2b_ot_1_t2",720,1,0,1,Inf,1,Inf,1
"c_r2eheavy_surg_2_anesthetist_1_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_2_surgeon_1_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_2_surgeon_2_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_2_nurse_1_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_2_nurse_2_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_2_nurse_3_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_2_nurse_4_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_anesthetist_1_t1",720,1,0,1,Inf,1,Inf,1
"c_r2eheavy_surg_4_surgeon_1_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_surgeon_2_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_nurse_1_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_nurse_2_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_nurse_3_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_nurse_4_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_6_anesthetist_1_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_6_surgeon_1_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_6_surgeon_2_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_6_nurse_1_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_6_nurse_2_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_6_nurse_3_t1",720,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_6_nurse_4_t1",720,0,0,1,Inf,0,Inf,1
"c_r2b_surg_1_anesthetist_1_t1",720,0,0,0,Inf,0,Inf,1
"c_r2b_surg_1_surgeon_1_t1",720,0,0,0,Inf,0,Inf,1
"c_r2b_surg_1_surgeon_2_t1",720,0,0,0,Inf,0,Inf,1
"c_r2b_surg_1_medic_1_t1",720,0,0,0,Inf,0,Inf,1
"b_r2b_ot_1_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_1_anesthetist_1_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_1_surgeon_1_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_1_surgeon_2_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_1_nurse_1_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_1_nurse_2_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_1_nurse_3_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_1_nurse_4_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_3_anesthetist_1_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_3_surgeon_1_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_3_surgeon_2_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_3_nurse_1_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_3_nurse_2_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_3_nurse_3_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_3_nurse_4_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_5_anesthetist_1_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_5_surgeon_1_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_5_surgeon_2_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_5_nurse_1_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_5_nurse_2_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_5_nurse_3_t1",720,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_5_nurse_4_t1",720,0,0,0,Inf,0,Inf,1
"b_r2eheavy_ot_2_t1",720,0,0,0,Inf,0,Inf,1
"c_r2b_surg_1_anesthetist_1_t2",720,1,0,1,Inf,1,Inf,1
"c_r2b_surg_1_surgeon_1_t2",720,1,0,1,Inf,1,Inf,1
"c_r2b_surg_1_surgeon_2_t2",720,1,0,1,Inf,1,Inf,1
"c_r2b_surg_1_medic_1_t2",720,1,0,1,Inf,1,Inf,1
"c_r2eheavy_surg_4_surgeon_1_t1",720,1,0,1,Inf,1,Inf,1
"c_r2eheavy_surg_4_surgeon_2_t1",720,1,0,1,Inf,1,Inf,1
"c_r2eheavy_surg_4_nurse_1_t1",720,1,0,1,Inf,1,Inf,1
"c_r2eheavy_surg_4_nurse_2_t1",720,1,0,1,Inf,1,Inf,1
"c_r2eheavy_surg_4_nurse_3_t1",720,1,0,1,Inf,1,Inf,1
"c_r2eheavy_surg_4_nurse_4_t1",720,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_facem_1_t2",735.7954320404,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_nurse_1_t2",735.7954320404,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_nurse_2_t2",735.7954320404,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_nurse_3_t2",735.7954320404,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_medic_1_t2",735.7954320404,0,0,1,Inf,0,Inf,1
"b_r2b_resus_1_t2",735.7954320404,0,0,1,Inf,0,Inf,1
"b_r2b_ot_1_t2",735.7954320404,1,1,1,Inf,2,Inf,1
"c_r1_technician_medic_1_t3",829.128627163591,1,0,1,Inf,1,Inf,1
"c_r1_clinician_nurse_1_t3",829.128627163591,1,0,1,Inf,1,Inf,1
"c_r2eheavy_surg_4_anesthetist_1_t1",839.53202870313,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_surgeon_1_t1",839.53202870313,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_surgeon_2_t1",839.53202870313,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_nurse_1_t1",839.53202870313,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_nurse_2_t1",839.53202870313,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_nurse_3_t1",839.53202870313,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_nurse_4_t1",839.53202870313,0,0,1,Inf,0,Inf,1
"b_r2eheavy_ot_1_t1",839.53202870313,0,0,1,Inf,0,Inf,1
"b_r2eheavy_icu_1_t1",839.53202870313,1,0,1,Inf,1,Inf,1
"c_r1_clinician_nurse_1_t3",853.960879891356,0,0,1,Inf,0,Inf,1
"c_r1_technician_medic_1_t3",853.960879891356,0,0,1,Inf,0,Inf,1
"c_r2b_surg_1_anesthetist_1_t2",867.629252071296,0,0,1,Inf,0,Inf,1
"c_r2b_surg_1_surgeon_1_t2",867.629252071296,0,0,1,Inf,0,Inf,1
"c_r2b_surg_1_surgeon_2_t2",867.629252071296,0,0,1,Inf,0,Inf,1
"c_r2b_surg_1_medic_1_t2",867.629252071296,0,0,1,Inf,0,Inf,1
"b_r2b_ot_1_t2",867.629252071296,1,0,1,Inf,1,Inf,1
"c_r2b_evac_1_medic_1_t2",867.629252071296,1,0,1,Inf,1,Inf,1
"c_r2b_evac_1_medic_2_t2",867.629252071296,1,0,1,Inf,1,Inf,1
"c_r2b_surg_1_anesthetist_1_t2",867.629252071296,1,0,1,Inf,1,Inf,1
"c_r2b_surg_1_surgeon_1_t2",867.629252071296,1,0,1,Inf,1,Inf,1
"c_r2b_surg_1_surgeon_2_t2",867.629252071296,1,0,1,Inf,1,Inf,1
"c_r2b_surg_1_medic_1_t2",867.629252071296,1,0,1,Inf,1,Inf,1
"c_r1_technician_medic_1_t2",888.609075754648,1,0,1,Inf,1,Inf,1
"c_r1_clinician_nurse_1_t2",888.609075754648,1,0,1,Inf,1,Inf,1
"c_r2b_evac_1_medic_1_t2",901.327326785911,0,0,1,Inf,0,Inf,1
"c_r2b_evac_1_medic_2_t2",901.327326785911,0,0,1,Inf,0,Inf,1
"b_r2eheavy_resus_1_t1",901.327326785911,1,0,1,Inf,1,Inf,1
"c_r2eheavy_emerg_2_facem_1_t1",901.327326785911,1,0,1,Inf,1,Inf,1
"c_r2eheavy_emerg_2_nurse_1_t1",901.327326785911,1,0,1,Inf,1,Inf,1
"c_r2eheavy_emerg_2_nurse_2_t1",901.327326785911,1,0,1,Inf,1,Inf,1
"c_r2eheavy_emerg_2_nurse_3_t1",901.327326785911,1,0,1,Inf,1,Inf,1
"c_r2eheavy_emerg_2_medic_1_t1",901.327326785911,1,0,1,Inf,1,Inf,1
"c_r1_clinician_nurse_1_t2",911.109015709418,0,0,1,Inf,0,Inf,1
"c_r1_technician_medic_1_t2",911.109015709418,0,0,1,Inf,0,Inf,1
"t_PMVAmb_1",911.109015709418,1,0,1,Inf,1,Inf,1
"b_r2eheavy_icu_1_t1",911.940043231865,0,0,1,Inf,0,Inf,1
"c_r1_technician_medic_1_t1",915.156312201871,1,0,1,Inf,1,Inf,1
"c_r2eheavy_emerg_2_facem_1_t1",927.151361381527,0,0,1,Inf,0,Inf,1
"c_r2eheavy_emerg_2_nurse_1_t1",927.151361381527,0,0,1,Inf,0,Inf,1
"c_r2eheavy_emerg_2_nurse_2_t1",927.151361381527,0,0,1,Inf,0,Inf,1
"c_r2eheavy_emerg_2_nurse_3_t1",927.151361381527,0,0,1,Inf,0,Inf,1
"c_r2eheavy_emerg_2_medic_1_t1",927.151361381527,0,0,1,Inf,0,Inf,1
"b_r2eheavy_resus_1_t1",927.151361381527,0,0,1,Inf,0,Inf,1
"b_r2eheavy_ot_1_t1",927.151361381527,1,0,1,Inf,1,Inf,1
"c_r2eheavy_surg_4_anesthetist_1_t1",927.151361381527,1,0,1,Inf,1,Inf,1
"c_r2eheavy_surg_4_surgeon_1_t1",927.151361381527,1,0,1,Inf,1,Inf,1
"c_r2eheavy_surg_4_surgeon_2_t1",927.151361381527,1,0,1,Inf,1,Inf,1
"c_r2eheavy_surg_4_nurse_1_t1",927.151361381527,1,0,1,Inf,1,Inf,1
"c_r2eheavy_surg_4_nurse_2_t1",927.151361381527,1,0,1,Inf,1,Inf,1
"c_r2eheavy_surg_4_nurse_3_t1",927.151361381527,1,0,1,Inf,1,Inf,1
"c_r2eheavy_surg_4_nurse_4_t1",927.151361381527,1,0,1,Inf,1,Inf,1
"c_r1_technician_medic_1_t3",928.898139110301,1,0,1,Inf,1,Inf,1
"c_r1_clinician_nurse_1_t3",928.898139110301,1,0,1,Inf,1,Inf,1
"c_r1_technician_medic_1_t1",930.706552337293,0,0,1,Inf,0,Inf,1
"t_HX240M_1",930.706552337293,1,0,1,Inf,1,Inf,1
"c_r1_clinician_nurse_1_t3",947.686140814079,0,0,1,Inf,0,Inf,1
"c_r1_technician_medic_1_t3",947.686140814079,0,0,1,Inf,0,Inf,1
"t_PMVAmb_2",947.686140814079,1,0,1,Inf,1,Inf,1
"t_PMVAmb_1",949.439190796956,0,0,1,Inf,0,Inf,1
"b_r2b_hold_1_t1",949.439190796956,1,0,1,Inf,1,Inf,1
"b_r2b_resus_1_t1",949.439190796956,1,0,1,Inf,1,Inf,1
"b_r2b_hold_1_t1",949.439190796956,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_facem_1_t1",949.439190796956,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_nurse_1_t1",949.439190796956,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_nurse_2_t1",949.439190796956,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_nurse_3_t1",949.439190796956,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_medic_1_t1",949.439190796956,1,0,1,Inf,1,Inf,1
"t_HX240M_1",959.654674517555,0,0,1,Inf,0,Inf,1
"t_PMVAmb_2",980.740496013099,0,0,1,Inf,0,Inf,1
"b_r2b_hold_1_t1",980.740496013099,1,0,1,Inf,1,Inf,1
"b_r2b_resus_2_t1",980.740496013099,1,0,1,Inf,1,Inf,1
"b_r2b_hold_1_t1",980.740496013099,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_facem_1_t1",980.740496013099,1,1,1,Inf,2,Inf,1
"c_r2b_emerg_1_facem_1_t1",983.381172820536,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_nurse_1_t1",983.381172820536,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_nurse_2_t1",983.381172820536,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_nurse_3_t1",983.381172820536,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_medic_1_t1",983.381172820536,0,0,1,Inf,0,Inf,1
"b_r2b_resus_1_t1",983.381172820536,0,0,1,Inf,0,Inf,1
"b_r2b_ot_1_t1",983.381172820536,0,1,0,Inf,1,Inf,1
"c_r2b_emerg_1_nurse_1_t1",983.381172820536,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_nurse_2_t1",983.381172820536,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_nurse_3_t1",983.381172820536,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_medic_1_t1",983.381172820536,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_facem_1_t1",1014.01598163756,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_nurse_1_t1",1014.01598163756,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_nurse_2_t1",1014.01598163756,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_nurse_3_t1",1014.01598163756,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_medic_1_t1",1014.01598163756,0,0,1,Inf,0,Inf,1
"b_r2b_resus_2_t1",1014.01598163756,0,0,1,Inf,0,Inf,1
"b_r2b_ot_1_t1",1014.01598163756,0,2,0,Inf,2,Inf,1
"c_r2eheavy_surg_4_anesthetist_1_t1",1027.964331316,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_surgeon_1_t1",1027.964331316,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_surgeon_2_t1",1027.964331316,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_nurse_1_t1",1027.964331316,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_nurse_2_t1",1027.964331316,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_nurse_3_t1",1027.964331316,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_4_nurse_4_t1",1027.964331316,0,0,1,Inf,0,Inf,1
"b_r2eheavy_ot_1_t1",1027.964331316,0,0,1,Inf,0,Inf,1
"b_r2eheavy_icu_1_t1",1027.964331316,1,0,1,Inf,1,Inf,1
"c_r2b_surg_1_anesthetist_1_t2",1030.27846652356,0,0,1,Inf,0,Inf,1
"c_r2b_surg_1_surgeon_1_t2",1030.27846652356,0,0,1,Inf,0,Inf,1
"c_r2b_surg_1_surgeon_2_t2",1030.27846652356,0,0,1,Inf,0,Inf,1
"c_r2b_surg_1_medic_1_t2",1030.27846652356,0,0,1,Inf,0,Inf,1
"b_r2b_ot_1_t2",1030.27846652356,0,0,1,Inf,0,Inf,1
