simmer environment: Battlefield Casualty Handling | now: 0 | next: 0
{ Monitor: in memory }
{ Resource: c_r1_technician_medic_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_emerg_1_medic_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_icu_1_nurse_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_icu_1_nurse_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_icu_1_medic_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_icu_1_medic_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_evac_1_medic_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_evac_1_medic_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_ot_1_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: b_r2b_resus_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_resus_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_icu_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_icu_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_hold_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_hold_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_hold_3_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_hold_4_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_hold_5_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_surg_1_anesthetist_1_t2 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2b_surg_1_surgeon_1_t2 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2b_surg_1_surgeon_2_t2 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2b_surg_1_medic_1_t2 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2b_emerg_1_facem_1_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_emerg_1_nurse_1_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_emerg_1_nurse_2_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_emerg_1_nurse_3_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_emerg_1_medic_1_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_icu_1_nurse_1_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_icu_1_nurse_2_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_icu_1_medic_1_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_icu_1_medic_2_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_evac_1_medic_1_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_evac_1_medic_2_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_ot_1_t2 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: b_r2b_resus_1_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_resus_2_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_icu_1_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_icu_2_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_hold_1_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_hold_2_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_hold_3_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_hold_4_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2b_hold_5_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_1_anesthetist_1_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_1_surgeon_1_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_1_surgeon_2_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_1_nurse_1_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_1_nurse_2_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_1_nurse_3_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_1_nurse_4_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_2_anesthetist_1_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_2_surgeon_1_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_2_surgeon_2_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_2_nurse_1_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_2_nurse_2_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_2_nurse_3_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_2_nurse_4_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_3_anesthetist_1_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_3_surgeon_1_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_3_surgeon_2_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_3_nurse_1_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_3_nurse_2_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_3_nurse_3_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_3_nurse_4_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_4_anesthetist_1_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_4_surgeon_1_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_4_surgeon_2_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_4_nurse_1_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_4_nurse_2_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_4_nurse_3_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_4_nurse_4_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_5_anesthetist_1_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_5_surgeon_1_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_5_surgeon_2_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_5_nurse_1_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_5_nurse_2_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_5_nurse_3_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_5_nurse_4_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_6_anesthetist_1_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_6_surgeon_1_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_6_surgeon_2_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_6_nurse_1_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_6_nurse_2_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_6_nurse_3_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_surg_6_nurse_4_t1 | monitored: TRUE | server status: 0(0) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_emerg_1_facem_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_emerg_1_nurse_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_emerg_1_nurse_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_emerg_1_nurse_3_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_emerg_1_medic_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_emerg_2_facem_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_emerg_2_nurse_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_emerg_2_nurse_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_emerg_2_nurse_3_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_emerg_2_medic_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_emerg_3_facem_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_emerg_3_nurse_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_emerg_3_nurse_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_emerg_3_nurse_3_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_emerg_3_medic_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_icu_1_intensivist_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_icu_1_nurse_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_icu_1_nurse_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_icu_1_nurse_3_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_icu_1_nurse_4_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_icu_2_intensivist_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_icu_2_nurse_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_icu_2_nurse_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_icu_2_nurse_3_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_icu_2_nurse_4_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_icu_3_intensivist_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_icu_3_nurse_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_icu_3_nurse_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_icu_3_nurse_3_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_icu_3_nurse_4_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_evac_1_medic_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_evac_1_medic_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_evac_2_medic_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_evac_2_medic_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_evac_3_medic_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2eheavy_evac_3_medic_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_ot_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_ot_2_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_ot_3_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_resus_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_resus_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_resus_3_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_resus_4_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_icu_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_icu_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_icu_3_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_icu_4_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_3_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_4_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_5_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_6_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_7_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_8_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_9_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_10_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_11_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_12_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_13_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_14_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_15_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_16_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_17_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_18_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_19_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_20_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_21_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_22_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_23_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_24_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_25_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_26_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_27_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_28_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_29_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: b_r2eheavy_hold_30_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: t_PMVAmb_1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: t_PMVAmb_2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: t_PMVAmb_3 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: t_HX240M_1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: t_HX240M_2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: t_HX240M_3 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: t_HX240M_4 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Source: wia_cbt | monitored: 2 | n_generated: 0 }
{ Source: kia_cbt | monitored: 2 | n_generated: 0 }
{ Source: dnbi_cbt | monitored: 2 | n_generated: 0 }
{ Source: wia_spt | monitored: 2 | n_generated: 0 }
{ Source: kia_spt | monitored: 2 | n_generated: 0 }
{ Source: dnbi_spt | monitored: 2 | n_generated: 0 }
{ Global: evac_wait_count | schedule: FALSE | initial value: 0 }
312.454: dnbi_cbt0: dnbi_cbt0
442.997: wia_cbt0: wia_cbt0
631.243: dnbi_cbt1: dnbi_cbt1
829.129: wia_spt0: wia_spt0
888.609: wia_cbt1: wia_cbt1
915.156: kia_cbt0: kia_cbt0
928.898: dnbi_cbt2: dnbi_cbt2
1210.27: dnbi_spt0: dnbi_spt0
1240.82: dnbi_cbt3: dnbi_cbt3
1291.96: wia_cbt2: wia_cbt2
1550.73: dnbi_cbt4: dnbi_cbt4
1687.89: wia_spt1: wia_spt1
1698.46: wia_cbt3: wia_cbt3
1840.59: kia_spt0: kia_spt0
1861.72: dnbi_cbt5: dnbi_cbt5
1914.28: kia_cbt1: kia_cbt1
2139.12: wia_cbt4: wia_cbt4
2158.88: dnbi_cbt6: dnbi_cbt6
2397.86: dnbi_spt1: dnbi_spt1
2443.86: dnbi_cbt7: dnbi_cbt7
2504.32: wia_spt2: wia_spt2
2539.92: wia_cbt5: wia_cbt5
2742.62: dnbi_cbt8: dnbi_cbt8
2801.69: kia_cbt2: kia_cbt2
2964.27: wia_cbt6: wia_cbt6
3039.72: dnbi_cbt9: dnbi_cbt9
3280.88: wia_spt3: wia_spt3
3341.42: dnbi_cbt10: dnbi_cbt10
3386.7: wia_cbt7: wia_cbt7
3611.6: kia_spt1: kia_spt1
3615.69: dnbi_spt2: dnbi_spt2
3662.4: dnbi_cbt11: dnbi_cbt11
3752.13: kia_cbt3: kia_cbt3
3808.04: wia_cbt8: wia_cbt8
3982.41: dnbi_cbt12: dnbi_cbt12
4133.95: wia_spt4: wia_spt4
4270.07: wia_cbt9: wia_cbt9
4290.15: dnbi_cbt13: dnbi_cbt13
4611.4: dnbi_cbt14: dnbi_cbt14
4618: kia_cbt4: kia_cbt4
4666.88: wia_cbt10: wia_cbt10
4854.14: dnbi_spt3: dnbi_spt3
4927.54: dnbi_cbt15: dnbi_cbt15
4994.97: wia_spt5: wia_spt5
5087.35: wia_cbt11: wia_cbt11
5249.86: dnbi_cbt16: dnbi_cbt16
5386.16: kia_spt2: kia_spt2
5473.27: wia_cbt12: wia_cbt12
5555.63: dnbi_cbt17: dnbi_cbt17
5565.53: kia_cbt5: kia_cbt5
5858.8: wia_spt6: wia_spt6
5866.61: wia_cbt13: wia_cbt13
5882.78: dnbi_cbt18: dnbi_cbt18
6074.74: dnbi_spt4: dnbi_spt4
6183.71: dnbi_cbt19: dnbi_cbt19
6281.48: wia_cbt14: wia_cbt14
6409.88: kia_cbt6: kia_cbt6
6489.02: dnbi_cbt20: dnbi_cbt20
6650.58: wia_spt7: wia_spt7
6711.26: wia_cbt15: wia_cbt15
6791.42: dnbi_cbt21: dnbi_cbt21
7101.65: dnbi_cbt22: dnbi_cbt22
7123.62: wia_cbt16: wia_cbt16
7258.27: kia_spt3: kia_spt3
7266.01: dnbi_spt5: dnbi_spt5
7296.38: kia_cbt7: kia_cbt7
7421.48: dnbi_cbt23: dnbi_cbt23
7488.4: wia_spt8: wia_spt8
7577.73: wia_cbt17: wia_cbt17
7717.25: dnbi_cbt24: dnbi_cbt24
8033.02: wia_cbt18: wia_cbt18
8033.04: dnbi_cbt25: dnbi_cbt25
8230.13: kia_cbt8: kia_cbt8
8324.8: wia_spt9: wia_spt9
8330.64: dnbi_cbt26: dnbi_cbt26
8433.62: wia_cbt19: wia_cbt19
8507.65: dnbi_spt6: dnbi_spt6
8640.25: dnbi_cbt27: dnbi_cbt27
8824.11: wia_cbt20: wia_cbt20
8956.09: dnbi_cbt28: dnbi_cbt28
9070.86: kia_cbt9: kia_cbt9
9089.14: kia_spt4: kia_spt4
9137.52: wia_spt10: wia_spt10
9271.52: wia_cbt21: wia_cbt21
9274.36: dnbi_cbt29: dnbi_cbt29
9571.14: dnbi_cbt30: dnbi_cbt30
9693.13: wia_cbt22: wia_cbt22
9730.71: dnbi_spt7: dnbi_spt7
9888.18: dnbi_cbt31: dnbi_cbt31
9948.56: kia_cbt10: kia_cbt10
9959.9: wia_spt11: wia_spt11
10102.8: wia_cbt23: wia_cbt23
10201.7: dnbi_cbt32: dnbi_cbt32
10506.1: dnbi_cbt33: dnbi_cbt33
10507.9: wia_cbt24: wia_cbt24
10812.1: wia_spt12: wia_spt12
10812.5: dnbi_cbt34: dnbi_cbt34
10874.2: kia_cbt11: kia_cbt11
10915.6: kia_spt5: kia_spt5
10941.1: dnbi_spt8: dnbi_spt8
10952.2: wia_cbt25: wia_cbt25
11094: dnbi_cbt35: dnbi_cbt35
11384: wia_cbt26: wia_cbt26
11394: dnbi_cbt36: dnbi_cbt36
11619.9: wia_spt13: wia_spt13
11712: dnbi_cbt37: dnbi_cbt37
11798.1: kia_cbt12: kia_cbt12
11814.2: wia_cbt27: wia_cbt27
12016.5: dnbi_cbt38: dnbi_cbt38
12171.7: dnbi_spt9: dnbi_spt9
12207.1: wia_cbt28: wia_cbt28
12320: dnbi_cbt39: dnbi_cbt39
12496.2: wia_spt14: wia_spt14
12612.3: wia_cbt29: wia_cbt29
12634.8: dnbi_cbt40: dnbi_cbt40
12653.9: kia_cbt13: kia_cbt13
12701.5: kia_spt6: kia_spt6
12934.9: dnbi_cbt41: dnbi_cbt41
13033.3: wia_cbt30: wia_cbt30
