276.693: wia_cbt0: wia_cbt0
4000.33: wia_spt3: wia_spt3
4026: wia_spt4: wia_spt4
4174.3: dnbi_cbt24: dnbi_cbt24
4219.67: wia_spt5: wia_spt5
4270.15: dnbi_cbt25: dnbi_cbt25
4294.82: dnbi_cbt26: dnbi_cbt26
4339: dnbi_spt3: dnbi_spt3
4420.68: kia_spt2: kia_spt2
4428.23: kia_spt3: kia_spt3
4470.01: wia_cbt17: wia_cbt17
4483.67: dnbi_cbt27: dnbi_cbt27
4488.15: wia_spt6: wia_spt6
4618.84: wia_cbt18: wia_cbt18
4645.77: wia_cbt19: wia_cbt19
4712.56: kia_cbt3: kia_cbt3
4746.75: wia_spt7: wia_spt7
4761.51: wia_cbt20: wia_cbt20
4834.34: wia_cbt21: wia_cbt21
4858.25: wia_cbt22: wia_cbt22
4878: kia_spt4: kia_spt4
4916.86: kia_cbt4: kia_cbt4
5014.15: dnbi_cbt28: dnbi_cbt28
5131.22: kia_spt5: kia_spt5
5316.67: wia_cbt23: wia_cbt23
5470.76: wia_cbt24: wia_cbt24
5534.64: kia_spt6: kia_spt6
5570.34: wia_cbt25: wia_cbt25
5645.42: dnbi_cbt29: dnbi_cbt29
5718.05: wia_cbt26: wia_cbt26
5741.57: wia_cbt27: wia_cbt27
6504.67: kia_spt7: kia_spt7
6542.12: dnbi_cbt30: dnbi_cbt30
6643.46: dnbi_cbt31: dnbi_cbt31
6851.32: kia_spt8: kia_spt8
6949.72: dnbi_cbt32: dnbi_cbt32
7135.18: kia_spt9: kia_spt9
7321.9: wia_cbt28: wia_cbt28
7779.55: dnbi_cbt33: dnbi_cbt33
8101.07: dnbi_cbt34: dnbi_cbt34
8404.66: wia_cbt29: wia_cbt29
8840: wia_spt8: wia_spt8
8885.1: kia_cbt5: kia_cbt5
8954.02: dnbi_cbt35: dnbi_cbt35
8981.28: dnbi_cbt36: dnbi_cbt36
9053.92: wia_spt9: wia_spt9
9092.27: dnbi_spt4: dnbi_spt4
9113.27: dnbi_cbt37: dnbi_cbt37
9153.56: dnbi_cbt38: dnbi_cbt38
9257.28: wia_spt10: wia_spt10
9454.66: wia_spt11: wia_spt11
9469.6: wia_spt12: wia_spt12
9673.73: wia_spt13: wia_spt13
9730.29: dnbi_spt5: dnbi_spt5
9747.64: wia_spt14: wia_spt14
10126: wia_cbt30: wia_cbt30
10129.6: wia_cbt31: wia_cbt31
10151: dnbi_cbt39: dnbi_cbt39
10309.7: dnbi_cbt40: dnbi_cbt40
10411.2: kia_spt10: kia_spt10
10531.3: wia_spt15: wia_spt15
10533.5: wia_spt16: wia_spt16
10551.3: dnbi_cbt41: dnbi_cbt41
10579.5: kia_cbt6: kia_cbt6
10592.8: dnbi_cbt42: dnbi_cbt42
10603: dnbi_cbt43: dnbi_cbt43
10746.7: dnbi_cbt44: dnbi_cbt44
10774.3: wia_cbt32: wia_cbt32
10776.5: wia_spt17: wia_spt17
10882.8: wia_cbt33: wia_cbt33
10892.9: kia_spt11: kia_spt11
10931.5: dnbi_cbt45: dnbi_cbt45
11093.4: wia_spt18: wia_spt18
11098.7: wia_spt19: wia_spt19
11183.6: wia_cbt34: wia_cbt34
11237.5: wia_spt20: wia_spt20
11280.8: dnbi_cbt46: dnbi_cbt46
11309.5: dnbi_cbt47: dnbi_cbt47
11328: dnbi_cbt48: dnbi_cbt48
11345.4: dnbi_cbt49: dnbi_cbt49
11353.1: dnbi_cbt50: dnbi_cbt50
11403.3: dnbi_cbt51: dnbi_cbt51
11411.3: wia_spt21: wia_spt21
11423.4: dnbi_cbt52: dnbi_cbt52
11456.2: dnbi_cbt53: dnbi_cbt53
11495: kia_spt12: kia_spt12
11546.2: dnbi_spt6: dnbi_spt6
11623.8: dnbi_cbt54: dnbi_cbt54
12001.3: dnbi_cbt55: dnbi_cbt55
12054.8: dnbi_spt7: dnbi_spt7
12058.6: wia_spt22: wia_spt22
12140.7: dnbi_cbt56: dnbi_cbt56
12322.3: wia_spt23: wia_spt23
12458.3: dnbi_cbt57: dnbi_cbt57
12916.6: dnbi_spt8: dnbi_spt8
12969.9: wia_cbt35: wia_cbt35
13008.1: dnbi_spt9: dnbi_spt9
13074.9: wia_cbt36: wia_cbt36
13105.2: wia_cbt37: wia_cbt37
13122.5: wia_cbt38: wia_cbt38
13211.4: dnbi_cbt58: dnbi_cbt58
13278.5: dnbi_cbt59: dnbi_cbt59
13347.2: wia_cbt39: wia_cbt39
13355: kia_cbt7: kia_cbt7
13381.7: wia_cbt40: wia_cbt40
13436.3: dnbi_cbt60: dnbi_cbt60
13459.8: wia_cbt41: wia_cbt41
13470.3: kia_cbt8: kia_cbt8
13483.7: wia_cbt42: wia_cbt42
13613.4: wia_cbt43: wia_cbt43
14354.5: wia_spt24: wia_spt24
14359.8: dnbi_cbt61: dnbi_cbt61
14603.9: wia_spt25: wia_spt25
14616.4: dnbi_cbt62: dnbi_cbt62
14693.6: dnbi_cbt63: dnbi_cbt63
14811.2: dnbi_cbt64: dnbi_cbt64
14817.2: wia_cbt44: wia_cbt44
15029.1: dnbi_cbt65: dnbi_cbt65
15110.5: wia_spt26: wia_spt26
15216.1: dnbi_cbt66: dnbi_cbt66
15290.7: wia_cbt45: wia_cbt45
15347.2: dnbi_cbt67: dnbi_cbt67
15442.1: dnbi_cbt68: dnbi_cbt68
15557.6: dnbi_cbt69: dnbi_cbt69
15580.9: wia_spt27: wia_spt27
15645.1: dnbi_cbt70: dnbi_cbt70
15699.4: dnbi_cbt71: dnbi_cbt71
15702: wia_spt28: wia_spt28
15756: dnbi_cbt72: dnbi_cbt72
16034.5: dnbi_cbt73: dnbi_cbt73
16040.4: dnbi_cbt74: dnbi_cbt74
16200.1: dnbi_cbt75: dnbi_cbt75
16587.1: dnbi_cbt76: dnbi_cbt76
16709.2: wia_spt29: wia_spt29
16922.2: dnbi_cbt77: dnbi_cbt77
17292.6: kia_spt13: kia_spt13
17324.2: dnbi_cbt78: dnbi_cbt78
17435.2: dnbi_cbt79: dnbi_cbt79
17456.1: dnbi_cbt80: dnbi_cbt80
17564: wia_cbt46: wia_cbt46
17653.6: dnbi_cbt81: dnbi_cbt81
17814.5: dnbi_cbt82: dnbi_cbt82
17864.3: wia_cbt47: wia_cbt47
17959.1: dnbi_cbt83: dnbi_cbt83
18059.2: wia_cbt48: wia_cbt48
18073.1: dnbi_cbt84: dnbi_cbt84
18132.8: wia_cbt49: wia_cbt49
18142.8: wia_cbt50: wia_cbt50
18189.3: dnbi_cbt85: dnbi_cbt85
18215.8: wia_cbt51: wia_cbt51
18313.6: wia_cbt52: wia_cbt52
18331.5: dnbi_cbt86: dnbi_cbt86
18437.9: kia_spt14: kia_spt14
18570.6: dnbi_spt10: dnbi_spt10
18767.5: wia_cbt53: wia_cbt53
19186.9: kia_cbt9: kia_cbt9
19224.7: kia_cbt10: kia_cbt10
19342.6: dnbi_cbt87: dnbi_cbt87
19468.4: kia_cbt11: kia_cbt11
19559.6: kia_cbt12: kia_cbt12
19626.3: wia_cbt54: wia_cbt54
19660.7: wia_cbt55: wia_cbt55
20153.5: dnbi_cbt88: dnbi_cbt88
20169.3: dnbi_cbt89: dnbi_cbt89
20266.5: dnbi_cbt90: dnbi_cbt90
20592: dnbi_cbt91: dnbi_cbt91
20598.3: dnbi_cbt92: dnbi_cbt92
20598.3: kia_spt15: kia_spt15
20764.3: dnbi_spt11: dnbi_spt11
20768.9: wia_spt30: wia_spt30
20828.2: wia_spt31: wia_spt31
21082.1: dnbi_cbt93: dnbi_cbt93
21203.2: dnbi_cbt94: dnbi_cbt94
21314: wia_cbt56: wia_cbt56
21314: dnbi_cbt95: dnbi_cbt95
21341.4: wia_spt32: wia_spt32
21467.6: dnbi_cbt96: dnbi_cbt96
21518.4: dnbi_cbt97: dnbi_cbt97
21550.3: wia_spt33: wia_spt33
21907.6: dnbi_spt12: dnbi_spt12
21962.3: kia_spt16: kia_spt16
21995.2: dnbi_cbt98: dnbi_cbt98
22247.2: kia_spt17: kia_spt17
22250.7: dnbi_cbt99: dnbi_cbt99
22353.3: kia_spt18: kia_spt18
22736: dnbi_cbt100: dnbi_cbt100
22937.8: dnbi_cbt101: dnbi_cbt101
22973.4: wia_cbt57: wia_cbt57
23116: wia_cbt58: wia_cbt58
23185.1: wia_spt34: wia_spt34
23241.7: dnbi_cbt102: dnbi_cbt102
23278.8: kia_cbt13: kia_cbt13
23569.7: wia_spt35: wia_spt35
23641.5: dnbi_cbt103: dnbi_cbt103
23666: kia_cbt14: kia_cbt14
23867.8: wia_spt36: wia_spt36
23933.3: kia_cbt15: kia_cbt15
23940.1: wia_cbt59: wia_cbt59
24044: wia_spt37: wia_spt37
24160.7: dnbi_cbt104: dnbi_cbt104
24354: kia_cbt16: kia_cbt16
24368: kia_cbt17: kia_cbt17
24482.6: dnbi_spt13: dnbi_spt13
24586.2: wia_spt38: wia_spt38
24613: dnbi_cbt105: dnbi_cbt105
24615.2: wia_cbt60: wia_cbt60
24639.8: wia_spt39: wia_spt39
24689.6: wia_spt40: wia_spt40
24887.7: wia_spt41: wia_spt41
24934.6: dnbi_cbt106: dnbi_cbt106
24967.1: wia_spt42: wia_spt42
24995.5: dnbi_cbt107: dnbi_cbt107
25046.6: wia_spt43: wia_spt43
25051.5: dnbi_cbt108: dnbi_cbt108
25073.5: wia_cbt61: wia_cbt61
25103.6: wia_spt44: wia_spt44
25265.4: wia_cbt62: wia_cbt62
25416.2: wia_cbt63: wia_cbt63
25485.5: wia_cbt64: wia_cbt64
25535.5: dnbi_cbt109: dnbi_cbt109
25884.3: wia_spt45: wia_spt45
25979.8: wia_spt46: wia_spt46
26025.8: wia_cbt65: wia_cbt65
26244.8: wia_cbt66: wia_cbt66
26329.1: wia_spt47: wia_spt47
26527: wia_spt48: wia_spt48
26537.7: wia_cbt67: wia_cbt67
26545.6: kia_spt19: kia_spt19
26591.4: wia_spt49: wia_spt49
26656.5: wia_cbt68: wia_cbt68
26870: kia_spt20: kia_spt20
27119.9: wia_cbt69: wia_cbt69
27159.5: wia_cbt70: wia_cbt70
27373.6: dnbi_cbt110: dnbi_cbt110
27393.6: dnbi_cbt111: dnbi_cbt111
27417.9: dnbi_spt14: dnbi_spt14
27419.3: wia_cbt71: wia_cbt71
27527.1: kia_spt21: kia_spt21
27558.1: kia_cbt18: kia_cbt18
27614.5: wia_cbt72: wia_cbt72
27780.6: dnbi_spt15: dnbi_spt15
27886.5: wia_cbt73: wia_cbt73
27886.6: dnbi_spt16: dnbi_spt16
27898.7: kia_cbt19: kia_cbt19
28000.9: wia_cbt74: wia_cbt74
28108.1: wia_cbt75: wia_cbt75
28128.1: dnbi_cbt112: dnbi_cbt112
28301.4: dnbi_cbt113: dnbi_cbt113
28328.5: wia_cbt76: wia_cbt76
28408.6: dnbi_spt17: dnbi_spt17
28421.1: dnbi_cbt114: dnbi_cbt114
28450.5: dnbi_cbt115: dnbi_cbt115
28482: dnbi_spt18: dnbi_spt18
28520: wia_cbt77: wia_cbt77
28552.6: wia_cbt78: wia_cbt78
28559.1: dnbi_cbt116: dnbi_cbt116
28729: kia_spt22: kia_spt22
28743.5: kia_spt23: kia_spt23
28842.7: wia_spt50: wia_spt50
28846.7: wia_spt51: wia_spt51
28873.2: wia_spt52: wia_spt52
28959.2: wia_spt53: wia_spt53
29230.9: dnbi_cbt117: dnbi_cbt117
29400.9: wia_spt54: wia_spt54
29411.9: wia_spt55: wia_spt55
29509.6: wia_spt56: wia_spt56
29869.2: wia_spt57: wia_spt57
29935: wia_spt58: wia_spt58
30275.4: dnbi_spt19: dnbi_spt19
30554.9: dnbi_cbt118: dnbi_cbt118
30668: dnbi_spt20: dnbi_spt20
30753.7: dnbi_cbt119: dnbi_cbt119
30823.9: dnbi_spt21: dnbi_spt21
30872.7: wia_spt59: wia_spt59
30888.8: dnbi_spt22: dnbi_spt22
30960.8: kia_cbt20: kia_cbt20
30971.3: dnbi_cbt120: dnbi_cbt120
31584.8: wia_cbt79: wia_cbt79
31705.4: kia_cbt21: kia_cbt21
31809.1: dnbi_cbt121: dnbi_cbt121
31825.8: dnbi_cbt122: dnbi_cbt122
31888.2: dnbi_cbt123: dnbi_cbt123
31911.9: wia_spt60: wia_spt60
32308.4: dnbi_spt23: dnbi_spt23
32487.4: dnbi_spt24: dnbi_spt24
32572.1: dnbi_spt25: dnbi_spt25
32807.6: dnbi_cbt124: dnbi_cbt124
32811.7: dnbi_spt26: dnbi_spt26
32861.6: wia_cbt80: wia_cbt80
32872.5: wia_cbt81: wia_cbt81
33023.8: dnbi_cbt125: dnbi_cbt125
33178.7: dnbi_cbt126: dnbi_cbt126
33196.8: dnbi_cbt127: dnbi_cbt127
33265.7: dnbi_cbt128: dnbi_cbt128
33288.8: dnbi_cbt129: dnbi_cbt129
33292.1: dnbi_cbt130: dnbi_cbt130
33455.2: wia_spt61: wia_spt61
33471.9: dnbi_cbt131: dnbi_cbt131
33507.5: dnbi_cbt132: dnbi_cbt132
33534.8: dnbi_cbt133: dnbi_cbt133
33559.8: dnbi_cbt134: dnbi_cbt134
33706.7: wia_spt62: wia_spt62
33721.8: dnbi_cbt135: dnbi_cbt135
33741.4: dnbi_cbt136: dnbi_cbt136
33757.6: dnbi_cbt137: dnbi_cbt137
33804.5: dnbi_cbt138: dnbi_cbt138
33910.2: dnbi_cbt139: dnbi_cbt139
33937.5: dnbi_cbt140: dnbi_cbt140
33944.9: dnbi_cbt141: dnbi_cbt141
33969.5: dnbi_cbt142: dnbi_cbt142
33973.4: dnbi_cbt143: dnbi_cbt143
34002.3: dnbi_cbt144: dnbi_cbt144
34018.5: dnbi_cbt145: dnbi_cbt145
34139.4: dnbi_cbt146: dnbi_cbt146
34401.6: dnbi_cbt147: dnbi_cbt147
34447.1: dnbi_cbt148: dnbi_cbt148
34454.5: dnbi_cbt149: dnbi_cbt149
34475: dnbi_cbt150: dnbi_cbt150
34484.9: dnbi_cbt151: dnbi_cbt151
34518.9: dnbi_cbt152: dnbi_cbt152
34540.9: dnbi_cbt153: dnbi_cbt153
34543.6: dnbi_cbt154: dnbi_cbt154
34593.2: wia_spt63: wia_spt63
34663.1: wia_spt64: wia_spt64
34750.1: wia_spt65: wia_spt65
34800.8: wia_spt66: wia_spt66
34877.1: dnbi_spt27: dnbi_spt27
34945.1: dnbi_cbt155: dnbi_cbt155
34976.1: dnbi_spt28: dnbi_spt28
35257.6: dnbi_spt29: dnbi_spt29
35282.7: wia_spt67: wia_spt67
35449.3: kia_cbt22: kia_cbt22
35474.3: dnbi_spt30: dnbi_spt30
35491.5: wia_spt68: wia_spt68
35501.4: wia_spt69: wia_spt69
35517.3: wia_spt70: wia_spt70
35575.9: kia_cbt23: kia_cbt23
35609.3: kia_cbt24: kia_cbt24
35672.7: wia_spt71: wia_spt71
35682.7: dnbi_cbt156: dnbi_cbt156
35790.3: dnbi_spt31: dnbi_spt31
35822.6: wia_spt72: wia_spt72
35893.8: wia_spt73: wia_spt73
35896: dnbi_spt32: dnbi_spt32
35979.2: kia_cbt25: kia_cbt25
36023.5: wia_cbt82: wia_cbt82
36072.1: kia_spt24: kia_spt24
36272.4: dnbi_cbt157: dnbi_cbt157
36308.3: wia_spt74: wia_spt74
36309.2: dnbi_cbt158: dnbi_cbt158
36357.1: wia_cbt83: wia_cbt83
36388: kia_spt25: kia_spt25
36600.9: wia_spt75: wia_spt75
36640.6: wia_cbt84: wia_cbt84
36647.9: dnbi_cbt159: dnbi_cbt159
36696.5: kia_spt26: kia_spt26
36709.7: wia_cbt85: wia_cbt85
36726.7: dnbi_spt33: dnbi_spt33
36765.2: dnbi_spt34: dnbi_spt34
36874.9: dnbi_cbt160: dnbi_cbt160
37045.3: wia_spt76: wia_spt76
37073.7: dnbi_cbt161: dnbi_cbt161
37128: wia_cbt86: wia_cbt86
37145.6: wia_spt77: wia_spt77
37166.8: wia_cbt87: wia_cbt87
37215.8: wia_spt78: wia_spt78
37296.8: dnbi_cbt162: dnbi_cbt162
37389.4: kia_spt27: kia_spt27
37447.6: wia_spt79: wia_spt79
37474.6: wia_spt80: wia_spt80
37500.5: wia_cbt88: wia_cbt88
37500.8: wia_cbt89: wia_cbt89
37504.9: wia_spt81: wia_spt81
37538.2: wia_cbt90: wia_cbt90
37565.9: wia_spt82: wia_spt82
37622.6: wia_cbt91: wia_cbt91
37672: wia_cbt92: wia_cbt92
37729: wia_cbt93: wia_cbt93
37739.8: wia_cbt94: wia_cbt94
37760.7: wia_cbt95: wia_cbt95
37838: wia_spt83: wia_spt83
37921.2: wia_cbt96: wia_cbt96
37938.4: wia_spt84: wia_spt84
37966.3: wia_spt85: wia_spt85
38001: wia_cbt97: wia_cbt97
38075.9: wia_cbt98: wia_cbt98
38219.7: wia_spt86: wia_spt86
38225.5: wia_cbt99: wia_cbt99
38263.5: wia_cbt100: wia_cbt100
38308.1: wia_spt87: wia_spt87
38414: dnbi_cbt163: dnbi_cbt163
38466: wia_cbt101: wia_cbt101
38478: wia_spt88: wia_spt88
38487.2: wia_spt89: wia_spt89
38494.9: wia_cbt102: wia_cbt102
38534.1: wia_cbt103: wia_cbt103
38562: wia_cbt104: wia_cbt104
38581.3: wia_cbt105: wia_cbt105
38635.6: wia_spt90: wia_spt90
38660.5: dnbi_cbt164: dnbi_cbt164
38721.7: wia_cbt106: wia_cbt106
38740.1: wia_cbt107: wia_cbt107
38748.1: wia_spt91: wia_spt91
38756.3: wia_spt92: wia_spt92
38812.8: wia_spt93: wia_spt93
38857.3: wia_spt94: wia_spt94
38914.2: kia_spt28: kia_spt28
39256: dnbi_spt35: dnbi_spt35
39462.7: dnbi_cbt165: dnbi_cbt165
39616.3: kia_cbt26: kia_cbt26
39856.9: dnbi_spt36: dnbi_spt36
39898: dnbi_cbt166: dnbi_cbt166
39992.2: dnbi_cbt167: dnbi_cbt167
40058.7: dnbi_cbt168: dnbi_cbt168
40151.2: kia_spt29: kia_spt29
40242.8: dnbi_cbt169: dnbi_cbt169
40340.8: dnbi_cbt170: dnbi_cbt170
40346.4: dnbi_cbt171: dnbi_cbt171
40584.6: kia_cbt27: kia_cbt27
40659.8: kia_cbt28: kia_cbt28
40922.8: wia_cbt108: wia_cbt108
40952: kia_cbt29: kia_cbt29
41076.7: kia_cbt30: kia_cbt30
41123.3: dnbi_spt37: dnbi_spt37
41334.3: kia_cbt31: kia_cbt31
41340.3: kia_cbt32: kia_cbt32
41397.3: kia_cbt33: kia_cbt33
41557.4: wia_cbt109: wia_cbt109
41854.9: dnbi_spt38: dnbi_spt38
41948.1: dnbi_cbt172: dnbi_cbt172
42001.1: wia_cbt110: wia_cbt110
42037: wia_cbt111: wia_cbt111
42058.2: wia_cbt112: wia_cbt112
42428.7: wia_cbt113: wia_cbt113
42543.5: wia_spt95: wia_spt95
42566.4: dnbi_cbt173: dnbi_cbt173
42607.4: dnbi_cbt174: dnbi_cbt174
42826.6: dnbi_cbt175: dnbi_cbt175
42837.5: wia_cbt114: wia_cbt114
42901.7: dnbi_spt39: dnbi_spt39
42956.9: wia_cbt115: wia_cbt115
43030.6: dnbi_cbt176: dnbi_cbt176
43035.9: dnbi_cbt177: dnbi_cbt177
43101.5: dnbi_cbt178: dnbi_cbt178
